release_id,hospital_id,version,event_type,decision,timestamp
R001,H001,v2.2,RELEASE_CREATED,,2026-01-01 08:00:00
R001,H001,v2.2,DEPLOYMENT_STARTED,,2026-01-01 08:01:00
R001,H001,v2.2,CANARY_STARTED,,2026-01-01 08:02:00
R001,H001,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 08:05:00
R001,H001,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 08:06:00
R001,H001,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 08:10:00
R001,H002,v2.2,RELEASE_CREATED,,2026-01-01 08:10:00
R001,H002,v2.2,DEPLOYMENT_STARTED,,2026-01-01 08:11:00
R001,H002,v2.2,CANARY_STARTED,,2026-01-01 08:12:00
R001,H002,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 08:15:00
R001,H002,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 08:16:00
R001,H002,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 08:20:00
R001,H003,v2.2,RELEASE_CREATED,,2026-01-01 08:20:00
R001,H003,v2.2,DEPLOYMENT_STARTED,,2026-01-01 08:21:00
R001,H003,v2.2,CANARY_STARTED,,2026-01-01 08:22:00
R001,H003,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 08:25:00
R001,H003,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 08:26:00
R001,H003,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 08:30:00
R001,H004,v2.2,RELEASE_CREATED,,2026-01-01 08:30:00
R001,H004,v2.2,DEPLOYMENT_STARTED,,2026-01-01 08:31:00
R001,H004,v2.2,CANARY_STARTED,,2026-01-01 08:32:00
R001,H004,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 08:35:00
R001,H004,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 08:36:00
R001,H004,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 08:40:00
R001,H005,v2.2,RELEASE_CREATED,,2026-01-01 08:40:00
R001,H005,v2.2,DEPLOYMENT_STARTED,,2026-01-01 08:41:00
R001,H005,v2.2,CANARY_STARTED,,2026-01-01 08:42:00
R001,H005,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 08:45:00
R001,H005,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 08:46:00
R001,H005,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 08:50:00
R001,H006,v2.2,RELEASE_CREATED,,2026-01-01 08:50:00
R001,H006,v2.2,DEPLOYMENT_STARTED,,2026-01-01 08:51:00
R001,H006,v2.2,CANARY_STARTED,,2026-01-01 08:52:00
R001,H006,v2.2,CANARY_EVALUATED,SAFE,2026-01-01 08:55:00
R001,H006,v2.2,ROLLOUT_DECISION,SAFE,2026-01-01 08:56:00
R001,H006,v2.2,DEPLOYMENT_COMPLETED,SAFE,2026-01-01 09:00:00
