release_id,hospital_id,version,rollout_percentage,action
R001,H001,v2.2,5,CONTINUE
R001,H001,v2.2,25,CONTINUE
R001,H001,v2.2,50,CONTINUE
R001,H001,v2.2,100,CONTINUE
R001,H002,v2.2,5,CONTINUE
R001,H002,v2.2,25,CONTINUE
R001,H002,v2.2,50,CONTINUE
R001,H002,v2.2,100,CONTINUE
R001,H003,v2.2,5,CONTINUE
R001,H003,v2.2,25,CONTINUE
R001,H003,v2.2,50,CONTINUE
R001,H003,v2.2,100,CONTINUE
R001,H004,v2.2,5,CONTINUE
R001,H004,v2.2,25,CONTINUE
R001,H004,v2.2,50,CONTINUE
R001,H004,v2.2,100,CONTINUE
R001,H005,v2.2,5,CONTINUE
R001,H005,v2.2,25,CONTINUE
R001,H005,v2.2,50,CONTINUE
R001,H005,v2.2,100,CONTINUE
R001,H006,v2.2,5,CONTINUE
R001,H006,v2.2,25,CONTINUE
R001,H006,v2.2,50,CONTINUE
R001,H006,v2.2,100,CONTINUE
R001,H007,v2.2,5,CONTINUE
R001,H007,v2.2,25,CONTINUE
R001,H007,v2.2,50,CONTINUE
R001,H007,v2.2,100,CONTINUE
R001,H008,v2.2,5,CONTINUE
R001,H008,v2.2,25,CONTINUE
R001,H008,v2.2,50,CONTINUE
R001,H008,v2.2,100,CONTINUE
R001,H009,v2.2,5,CONTINUE
R001,H009,v2.2,25,CONTINUE
R001,H009,v2.2,50,CONTINUE
R001,H009,v2.2,100,CONTINUE
R001,H010,v2.2,5,CONTINUE
R001,H010,v2.2,25,CONTINUE
R001,H010,v2.2,50,CONTINUE
R001,H010,v2.2,100,CONTINUE
R001,H011,v2.2,5,CONTINUE
R001,H011,v2.2,25,CONTINUE
R001,H011,v2.2,50,CONTINUE
R001,H011,v2.2,100,CONTINUE
R001,H012,v2.2,5,CONTINUE
R001,H012,v2.2,25,CONTINUE
R001,H012,v2.2,50,CONTINUE
R001,H012,v2.2,100,CONTINUE
R001,H013,v2.2,5,STOP
R001,H014,v2.2,5,CONTINUE
R001,H014,v2.2,25,CONTINUE
R001,H014,v2.2,50,CONTINUE
R001,H014,v2.2,100,CONTINUE
R001,H015,v2.2,5,CONTINUE
R001,H015,v2.2,25,CONTINUE
R001,H015,v2.2,50,CONTINUE
R001,H015,v2.2,100,CONTINUE
R001,H016,v2.2,5,CONTINUE
R001,H016,v2.2,25,CONTINUE
R001,H016,v2.2,50,CONTINUE
R001,H016,v2.2,100,CONTINUE
R001,H017,v2.2,5,HOLD
R001,H018,v2.2,5,CONTINUE
R001,H018,v2.2,25,CONTINUE
