release_id,hospital_id,version,rollout_stage,cpu_usage,memory_usage,error_rate,latency_ms,error_budget_remaining,stable_error_rate,stable_latency_ms,canary_error_rate,deployment_status,harmful,missing_metric,noisy_metric,error_budget_status,canary_error_difference,canary_latency_difference,canary_error_ratio,canary_risk,fallback_action,risk_score,risk_decision
R001,H001,v2.2,100,47.66,53.13,0.65,273.24,85.4,1.6,189.8,2.0,SUCCESS,False,False,False,HEALTHY,0.3999999999999999,83.44,1.25,SAFE,PROCESS,0,SAFE
R001,H002,v2.2,5,52.42,39.69,1.58,158.25,56.97,0.77,127.51,2.03,SUCCESS,False,False,False,HEALTHY,1.2599999999999998,30.739999999999995,2.6363636363636362,WARNING,PROCESS,20,SAFE
R001,H003,v2.2,50,44.56,55.89,2.02,134.1,97.44,0.8,177.14,0.66,IN_PROGRESS,False,False,False,HEALTHY,-0.14,-43.03999999999999,0.825,SAFE,PROCESS,5,SAFE
R001,H004,v2.2,5,49.87,46.54,0.59,281.86,83.13,1.53,166.02,1.15,SUCCESS,False,False,False,HEALTHY,-0.3800000000000001,115.84,0.7516339869281045,WARNING,PROCESS,20,SAFE
R001,H005,v2.2,5,57.38,56.37,0.72,139.2,66.27,1.95,216.27,0.61,SUCCESS,False,False,False,HEALTHY,-1.3399999999999999,-77.07000000000002,0.3128205128205128,SAFE,PROCESS,0,SAFE
R001,H006,v2.2,10,53.24,51.92,0.69,297.38,59.94,0.92,181.4,2.43,SUCCESS,False,False,False,HEALTHY,1.5100000000000002,115.97999999999999,2.641304347826087,WARNING,PROCESS,20,SAFE
R001,H007,v2.2,25,41.61,52.53,2.66,224.66,53.18,1.66,111.11,1.33,SUCCESS,False,False,False,HEALTHY,-0.32999999999999985,113.55,0.8012048192771085,WARNING,PROCESS,20,SAFE
R001,H008,v2.2,25,53.62,49.84,2.4,212.26,74.69,1.83,170.83,2.43,SUCCESS,False,False,False,HEALTHY,0.6000000000000001,41.42999999999998,1.3278688524590165,SAFE,PROCESS,0,SAFE
R001,H009,v2.2,5,50.92,39.1,2.77,149.86,87.78,0.55,195.46,1.53,SUCCESS,False,False,False,HEALTHY,0.98,-45.599999999999994,2.7818181818181817,SAFE,PROCESS,0,SAFE
R001,H010,v2.2,5,59.15,57.63,2.51,137.31,76.97,1.89,221.22,2.73,SUCCESS,False,False,False,HEALTHY,0.8400000000000001,-83.91,1.4444444444444444,SAFE,PROCESS,0,SAFE
R001,H011,v2.2,5,52.96,57.09,0.52,202.15,61.11,0.84,164.07,1.54,SUCCESS,False,False,False,HEALTHY,0.7000000000000001,38.08000000000001,1.8333333333333335,SAFE,PROCESS,0,SAFE
R001,H012,v2.2,10,52.58,54.4,2.91,150.36,65.04,1.28,205.45,1.74,SUCCESS,False,False,False,HEALTHY,0.45999999999999996,-55.089999999999975,1.359375,SAFE,PROCESS,0,SAFE
R001,H013,v2.2,10,48.08,57.41,0.86,197.89,62.1,0.58,141.8,2.96,SUCCESS,False,False,False,HEALTHY,2.38,56.089999999999975,5.103448275862069,CRITICAL,PROCESS,40,BLOCK
