release_id,hospital_id,version,rollout_stage,cpu_usage,memory_usage,error_rate,latency_ms,error_budget_remaining,stable_error_rate,stable_latency_ms,canary_error_rate,deployment_status,harmful
R001,H001,v2.2,100,47.66,53.13,0.65,273.24,85.4,1.6,189.8,2.0,SUCCESS,False
R001,H002,v2.2,5,52.42,39.69,1.58,158.25,56.97,0.77,127.51,2.03,SUCCESS,False
R001,H003,v2.2,50,44.56,55.89,2.02,134.1,97.44,0.8,177.14,0.66,IN_PROGRESS,False
R001,H004,v2.2,5,49.87,46.54,0.59,281.86,83.13,1.53,166.02,1.15,SUCCESS,False
R001,H005,v2.2,5,57.38,56.37,0.72,139.2,66.27,1.95,216.27,0.61,SUCCESS,False
R001,H006,v2.2,10,53.24,51.92,0.69,297.38,59.94,0.92,181.4,2.43,SUCCESS,False
R001,H007,v2.2,25,41.61,52.53,2.66,224.66,53.18,1.66,111.11,1.33,SUCCESS,False
R001,H008,v2.2,25,53.62,49.84,2.4,212.26,74.69,1.83,170.83,2.43,SUCCESS,False
R001,H009,v2.2,5,50.92,39.1,2.77,149.86,87.78,0.55,195.46,1.53,SUCCESS,False
R001,H010,v2.2,5,59.15,57.63,2.51,137.31,76.97,1.89,221.22,2.73,SUCCESS,False
R001,H011,v2.2,5,52.96,57.09,0.52,202.15,61.11,0.84,164.07,1.54,SUCCESS,False
R001,H012,v2.2,10,52.58,54.4,2.91,150.36,65.04,1.28,205.45,1.74,SUCCESS,False
R001,H013,v2.2,10,48.08,57.41,0.86,197.89,62.1,0.58,141.8,2.96,SUCCESS,False
R001,H014,v2.2,25,55.87,72.52,0.73,267.06,59.33,1.05,194.85,1.3,SUCCESS,False
R001,H015,v2.2,5,39.38,58.79,2.23,177.35,56.88,1.27,133.97,2.84,SUCCESS,False
R001,H016,v2.2,50,52.27,65.46,1.82,148.37,94.86,0.89,199.0,0.73,IN_PROGRESS,False
R001,H017,v2.2,10,52.5,,2.11,116.83,94.93,1.59,234.57,0.9,SUCCESS,False
R001,H018,v2.2,100,21.21,48.57,2.99,135.19,74.69,0.93,145.8,0.55,SUCCESS,False
R001,H019,v2.2,25,72.73,56.18,1.13,217.97,74.34,0.96,181.38,2.95,IN_PROGRESS,False
R001,H020,v2.2,25,49.95,42.43,1.93,253.71,99.73,1.5,229.63,0.61,SUCCESS,False
R001,H021,v2.2,25,71.19,67.37,2.95,115.07,59.55,1.93,149.61,1.26,SUCCESS,False
R001,H022,v2.2,10,38.52,66.12,1.14,159.06,92.43,1.77,239.5,1.31,SUCCESS,False
R001,H023,v2.2,5,42.67,56.56,0.51,225.58,53.55,1.13,138.43,0.99,SUCCESS,False
R001,H024,v2.2,5,38.0,64.61,0.89,296.37,93.02,1.37,165.77,2.6,SUCCESS,False
R001,H025,v2.2,10,62.1,53.79,0.99,182.27,56.92,0.99,224.18,2.25,SUCCESS,False
R001,H026,v2.2,5,41.42,61.72,0.96,116.17,84.42,1.1,165.03,1.57,SUCCESS,False
R001,H027,v2.2,5,51.84,59.62,1.79,231.42,86.5,0.64,127.43,1.59,SUCCESS,False
R001,H028,v2.2,5,47.19,50.17,2.95,135.07,88.17,1.01,113.77,0.54,SUCCESS,False
R001,H029,v2.2,25,46.76,59.2,0.54,286.69,76.97,0.57,242.37,1.75,SUCCESS,False
R001,H030,v2.2,100,56.08,63.26,1.93,125.7,91.03,1.8,195.46,2.53,SUCCESS,False
R001,H031,v2.2,5,45.81,54.11,2.05,167.31,69.27,0.91,132.19,2.14,SUCCESS,False
R001,H032,v2.2,10,54.49,54.37,1.87,184.69,78.8,1.54,152.25,1.92,SUCCESS,False
R001,H033,v2.2,25,57.64,46.11,2.35,147.65,76.72,1.8,184.28,1.44,SUCCESS,False
R001,H034,v2.2,5,45.89,62.87,2.89,235.35,74.65,0.58,243.78,1.71,SUCCESS,False
R001,H035,v2.2,25,46.57,56.99,2.83,294.85,52.79,0.82,241.93,2.99,SUCCESS,False
R001,H036,v2.2,100,50.56,55.48,1.57,144.52,94.59,1.53,225.54,1.49,SUCCESS,False
R001,H037,v2.2,25,52.9,53.5,1.98,170.04,74.08,1.79,232.05,2.27,SUCCESS,False
R001,H038,v2.2,10,64.44,39.68,2.35,253.44,87.21,1.15,138.05,2.56,SUCCESS,False
R001,H039,v2.2,10,63.59,52.71,2.94,211.2,52.17,0.62,179.26,1.31,IN_PROGRESS,False
R001,H040,v2.2,25,42.98,47.26,2.99,239.39,86.86,0.61,124.93,1.46,IN_PROGRESS,False
R001,H041,v2.2,10,54.63,46.67,1.47,145.88,68.02,0.66,150.35,1.16,SUCCESS,False
R001,H042,v2.2,5,43.54,51.77,0.69,288.11,79.06,1.12,190.42,1.54,IN_PROGRESS,False
R001,H043,v2.2,25,48.92,67.22,2.96,175.35,69.65,0.75,161.69,2.37,SUCCESS,False
R001,H044,v2.2,5,52.19,51.12,1.84,249.98,79.26,0.7,102.05,2.78,SUCCESS,False
R001,H045,v2.2,5,41.28,49.63,2.7,251.4,63.43,0.81,137.72,0.62,SUCCESS,False
R001,H046,v2.2,50,54.14,65.74,1.7,184.11,81.97,0.96,222.46,2.46,SUCCESS,False
R001,H047,v2.2,100,41.31,55.93,2.32,209.49,95.52,1.41,195.5,1.63,SUCCESS,False
R001,H048,v2.2,50,51.28,51.15,1.37,141.83,67.08,1.19,226.31,1.95,SUCCESS,False
R001,H049,v2.2,10,42.48,68.39,2.69,203.05,80.1,1.55,127.01,2.93,SUCCESS,False
R001,H050,v2.2,10,28.54,59.1,2.74,125.75,66.08,0.55,182.31,1.33,SUCCESS,False
R002,H001,v2.3,5,51.78,55.29,1.84,284.81,88.0,1.07,100.39,1.09,SUCCESS,False
